city,census2010
"Paterson city, New Jersey","146,199"
"Savannah city, Georgia","136,286"
"Bridgeport city, Connecticut","144,229"
"Torrance city, California","145,438"
"McAllen city, Texas","129,877"
"Syracuse city, New York","145,170"
"Surprise city, Arizona","117,517"
"Denton city, Texas","113,383"
"Roseville city, California","118,788"
"Thornton city, Colorado","118,772"
"Miramar city, Florida","122,041"
"Pasadena city, California","137,122"
"Mesquite city, Texas","139,824"
"Olathe city, Kansas","125,872"
"Dayton city, Ohio","141,527"
"Carrollton city, Texas","119,097"
"Waco city, Texas","124,805"
"Orange city, California","136,416"
"Fullerton city, California","135,161"
"Charleston city, South Carolina","120,083"
"West Valley City city, Utah","129,480"
"Visalia city, California","124,442"
"Hampton city, Virginia","137,436"
"Gainesville city, Florida","124,354"
"Warren city, Michigan","134,056"
"Coral Springs city, Florida","121,096"
"Cedar Rapids city, Iowa","126,326"
"Round Rock city, Texas","99,887"
"Sterling Heights city, Michigan","129,699"
"Kent city, Washington","92,411"
"Columbia city, South Carolina","129,272"
"Santa Clara city, California","116,468"
"New Haven city, Connecticut","129,779"
"Stamford city, Connecticut","122,643"
"Concord city, California","122,067"
"Elizabeth city, New Jersey","124,969"
"Athens-Clarke County unified government (balance), Georgia","115,452"
"Thousand Oaks city, California","126,683"
"Lafayette city, Louisiana","120,623"
"Simi Valley city, California","124,237"
"Topeka city, Kansas","127,473"
"Norman city, Oklahoma","110,925"
"Fargo city, North Dakota","105,549"
"Wilmington city, North Carolina","106,476"
"Abilene city, Texas","117,063"
"Odessa city, Texas","99,940"
"Columbia city, Missouri","108,500"
"Pearland city, Texas","91,252"
"Victorville city, California","115,903"
"Hartford city, Connecticut","124,775"
"Vallejo city, California","115,942"
"Allentown city, Pennsylvania","118,032"
"Berkeley city, California","112,580"
"Richardson city, Texas","99,223"
"Arvada city, Colorado","106,433"
"Ann Arbor city, Michigan","113,934"
"Rochester city, Minnesota","106,769"
"Cambridge city, Massachusetts","105,162"
"Sugar Land city, Texas","78,817"
"Lansing city, Michigan","114,297"
"Evansville city, Indiana","117,429"
"College Station city, Texas","93,857"
"Fairfield city, California","105,321"
"Clearwater city, Florida","107,685"
"Beaumont city, Texas","118,296"
"Independence city, Missouri","116,830"
"Provo city, Utah","112,488"
"West Jordan city, Utah","103,712"
"Murrieta city, California","103,466"
"Palm Bay city, Florida","103,190"
"El Monte city, California","113,475"
"Carlsbad city, California","105,328"
"North Charleston city, South Carolina","97,471"
"Temecula city, California","100,097"
"Clovis city, California","95,631"
"Springfield city, Illinois","116,250"
"Meridian city, Idaho","75,092"
"Westminster city, Colorado","106,114"
"Costa Mesa city, California","109,960"
"High Point city, North Carolina","104,371"
"Manchester city, New Hampshire","109,565"
"Pueblo city, Colorado","106,595"
"Lakeland city, Florida","97,422"
"Pompano Beach city, Florida","99,845"
"West Palm Beach city, Florida","99,919"
"Antioch city, California","102,372"
"Everett city, Washington","103,019"
"Downey city, California","111,772"
"Lowell city, Massachusetts","106,519"
"Centennial city, Colorado","100,377"
"Elgin city, Illinois","108,188"
"Richmond city, California","103,701"
"Peoria city, Illinois","115,007"
"Broken Arrow city, Oklahoma","98,850"
"Miami Gardens city, Florida","107,167"
"Billings city, Montana","104,170"
"Jurupa Valley city, California",(X)
"Sandy Springs city, Georgia","93,853"
"Gresham city, Oregon","105,594"
"Lewisville city, Texas","95,290"
"Hillsboro city, Oregon","91,611"
"San Buenaventura (Ventura) city, California","106,433"
"Greeley city, Colorado","92,889"
"Inglewood city, California","109,673"
"Waterbury city, Connecticut","110,366"
"League City city, Texas","83,560"
"Santa Maria city, California","99,553"
"Tyler city, Texas","96,900"
"Davie town, Florida","91,992"
"Daly City city, California","101,123"
"Boulder city, Colorado","97,385"
"Allen city, Texas","84,246"
"West Covina city, California","106,098"
"Sparks city, Nevada","90,264"
"Wichita Falls city, Texas","104,553"
"Green Bay city, Wisconsin","104,057"
"San Mateo city, California","97,207"
"Norwalk city, California","105,549"
"Rialto city, California","99,171"
"Las Cruces city, New Mexico","97,618"
"Chico city, California","86,187"
"El Cajon city, California","99,478"
"Burbank city, California","103,340"
"South Bend city, Indiana","101,168"
"Renton city, Washington","90,927"
"Vista city, California","93,834"
"Davenport city, Iowa","99,685"
"Edinburg city, Texas","77,100"
"Tuscaloosa city, Alabama","90,468"
"Carmel city, Indiana","79,191"
"Spokane Valley city, Washington","89,755"
"San Angelo city, Texas","93,200"
"Vacaville city, California","92,428"
"Bend city, Oregon","76,639"
"Kenosha city, Wisconsin","99,218"
"Boca Raton city, Florida","84,392"
"Lee's Summit city, Missouri","91,364"
"Nampa city, Idaho","81,557"
"Rio Rancho city, New Mexico","87,521"
"South Fulton city, Georgia",(X)
"Roanoke city, Virginia","97,032"
"Beaverton city, Oregon","89,803"
"Yuma city, Arizona","93,064"
"Lawrence city, Kansas","87,643"
"Orem city, Utah","88,328"
"Longmont city, Colorado","86,270"
"San Marcos city, California","83,781"
"Albany city, New York","97,856"
"Sandy city, Utah","87,461"
"Concord city, North Carolina","79,066"
"Federal Way city, Washington","89,306"
"Hesperia city, California","90,173"
"Brockton city, Massachusetts","93,810"
"Compton city, California","96,455"
"Flint city, Michigan","102,434"
"Erie city, Pennsylvania","101,786"
"New Bedford city, Massachusetts","95,072"
"Fishers city, Indiana","76,794"
"Sunrise city, Florida","84,439"
"Roswell city, Georgia","88,346"
"Menifee city, California","77,519"
"Tracy city, California","82,922"
"Plantation city, Florida","84,955"
"Quincy city, Massachusetts","92,271"
"Portsmouth city, Virginia","95,535"
"Mission Viejo city, California","93,305"
"Chino city, California","77,983"
"Lynn city, Massachusetts","90,329"
"Edmond city, Oklahoma","81,405"
"Dearborn city, Michigan","98,153"
"Livonia city, Michigan","96,942"
"Yakima city, Washington","91,067"
"South Gate city, California","94,396"
"Greenville city, North Carolina","84,554"
"Lawton city, Oklahoma","96,867"
"Kirkland city, Washington","48,787"
"Asheville city, North Carolina","83,393"
"Deltona city, Florida","85,182"
"Redding city, California","89,861"
"Bellingham city, Washington","80,885"
"Suffolk city, Virginia","84,585"
"Indio city, California","76,036"
"Mount Pleasant town, South Carolina","67,843"
"Carson city, California","91,714"
"Santa Barbara city, California","88,410"
"Conroe city, Texas","56,207"
"Westminster city, California","89,701"
"Santa Monica city, California","89,736"
"New Braunfels city, Texas","57,740"
"Livermore city, California","80,968"
"Palm Coast city, Florida","75,180"
"St. George city, Utah","72,897"
"Fall River city, Massachusetts","88,857"
"Nashua city, New Hampshire","86,494"
"Champaign city, Illinois","81,055"
"Miami Beach city, Florida","87,779"
"Norwalk city, Connecticut","85,603"
"San Leandro city, California","84,950"
"O'Fallon city, Missouri","79,329"
"Newton city, Massachusetts","85,146"
"Reading city, Pennsylvania","88,082"
"Avondale city, Arizona","76,238"
"Fort Smith city, Arkansas","86,209"
"Citrus Heights city, California","83,301"
"Ogden city, Utah","82,825"
"Fayetteville city, Arkansas","73,580"
"Fort Myers city, Florida","62,298"
"Goodyear city, Arizona","65,275"
"Bryan city, Texas","76,201"
"Waukegan city, Illinois","89,078"
"Hawthorne city, California","84,293"
"Redwood City city, California","76,815"
"Hoover city, Alabama","81,619"
"Bloomington city, Indiana","80,405"
"Duluth city, Minnesota","86,265"
"Lake Forest city, California","77,264"
"Hemet city, California","78,657"
"Whittier city, California","85,331"
"Clifton city, New Jersey","84,136"
"Largo city, Florida","77,648"
"Bloomington city, Minnesota","82,893"
"Danbury city, Connecticut","80,893"
"Santa Fe city, New Mexico","67,947"
"Johns Creek city, Georgia","76,728"
"Newport Beach city, California","85,186"
"Kennewick city, Washington","73,917"
"Mission city, Texas","77,058"
"Milpitas city, California","66,790"
"Troy city, Michigan","80,980"
"Chino Hills city, California","74,799"
"Alhambra city, California","83,089"
"Merced city, California","78,958"
"Trenton city, New Jersey","84,913"
"Franklin city, Tennessee","62,487"
"Medford city, Oregon","74,907"
"Melbourne city, Florida","76,068"
"Manteca city, California","67,096"
"Mountain View city, California","74,066"
"Sioux City city, Iowa","82,684"
"Lynchburg city, Virginia","75,568"
"Buena Park city, California","80,530"
"Pleasanton city, California","70,285"
"Longview city, Texas","80,455"
"Westland city, Michigan","84,094"
"Auburn city, Washington","70,180"
"Cranston city, Rhode Island","80,387"
"Somerville city, Massachusetts","75,754"
"Folsom city, California","72,203"
"Springdale city, Arkansas","69,797"
"Deerfield Beach city, Florida","75,018"
"Warwick city, Rhode Island","82,672"
"Cicero town, Illinois","83,891"
"Farmington Hills city, Michigan","79,740"
"Brooklyn Park city, Minnesota","75,781"
"Lawrence city, Massachusetts","76,377"
"Plymouth city, Minnesota","70,576"
"Buckeye city, Arizona","50,876"
"Georgetown city, Texas","47,400"
"Cedar Park city, Texas","48,937"
"Tustin city, California","75,540"
"Lakewood city, California","80,048"
"Perris city, California","68,386"
"Flower Mound town, Texas","64,669"
"Pharr city, Texas","70,400"
"Loveland city, Colorado","66,859"
"Boynton Beach city, Florida","68,217"
"New Rochelle city, New York","77,062"
"Temple city, Texas","66,102"
"Lake Charles city, Louisiana","71,993"
"Jonesboro city, Arkansas","67,263"
"Napa city, California","76,915"
"Parma city, Ohio","81,601"
"Layton city, Utah","67,311"
"Alameda city, California","73,812"
"Warner Robins city, Georgia","66,588"
"Rapid City city, South Dakota","67,956"
"Bloomington city, Illinois","76,610"
"Gastonia city, North Carolina","71,741"
"Baytown city, Texas","71,802"
"Upland city, California","73,732"
"Racine city, Wisconsin","78,860"
"Scranton city, Pennsylvania","76,089"
"South Jordan city, Utah","50,418"
"Bellflower city, California","76,616"
"Kalamazoo city, Michigan","74,262"
"San Ramon city, California","72,148"
"Bethlehem city, Pennsylvania","74,982"
"Wyoming city, Michigan","72,125"
"Hammond city, Indiana","80,830"
"Missoula city, Montana","66,788"
"Missouri City city, Texas","67,358"
"Pasco city, Washington","59,781"
"Baldwin Park city, California","75,390"
"Iowa City city, Iowa","67,862"
"Rancho Cordova city, California","64,776"
"Rock Hill city, South Carolina","66,154"
"Flagstaff city, Arizona","65,870"
"Gary city, Indiana","80,294"
"St. Joseph city, Missouri","76,780"
"Arlington Heights village, Illinois","75,101"
"Bolingbrook village, Illinois","73,366"
"Rochester Hills city, Michigan","70,995"
"Framingham city, Massachusetts",(X)
"Union City city, California","69,516"
"Appleton city, Wisconsin","72,623"
"Turlock city, California","68,549"
"Camden city, New Jersey","77,344"
"Bismarck city, North Dakota","61,272"
"Evanston city, Illinois","74,486"
"Apple Valley town, California","69,135"
"Schaumburg village, Illinois","74,227"
"Woodbury city, Minnesota","61,961"
"Kissimmee city, Florida","59,682"
"Southfield city, Michigan","71,739"
"Maple Grove city, Minnesota","61,567"
"Pittsburg city, California","63,264"
"New Britain city, Connecticut","73,206"
"Jacksonville city, North Carolina","70,145"
"Mansfield city, Texas","56,368"
"Waukesha city, Wisconsin","70,718"
"Frederick city, Maryland","65,239"
"Albany city, Georgia","77,434"
"Pawtucket city, Rhode Island","71,148"
"Redmond city, Washington","54,144"
"Lauderhill city, Florida","66,887"
"Lafayette city, Indiana","67,140"
"Gulfport city, Mississippi","67,793"
"Redlands city, California","68,747"
"Weston city, Florida","65,333"
"St. Charles city, Missouri","65,794"
"Decatur city, Illinois","76,122"
"North Port city, Florida","57,357"
"North Richland Hills city, Texas","63,343"
"Greenville city, South Carolina","58,409"
"Bowling Green city, Kentucky","58,067"
"Broomfield city, Colorado","55,889"
"Canton city, Ohio","73,007"
"Marysville city, Washington","60,020"
"Walnut Creek city, California","64,173"
"Wilmington city, Delaware","70,851"
"Camarillo city, California","65,201"
"Lynwood city, California","69,772"
"Lehi city, Utah","47,407"
"Passaic city, New Jersey","69,781"
"Homestead city, Florida","60,512"
"Delray Beach city, Florida","60,522"
"Davis city, California","65,622"
"Lake Elsinore city, California","51,821"
"Daytona Beach city, Florida","61,005"
"Dothan city, Alabama","65,496"
"Rocklin city, California","56,974"
"Eau Claire city, Wisconsin","65,883"
"Rogers city, Arkansas","55,964"
"Castle Rock town, Colorado","48,231"
"St. Cloud city, Minnesota","65,842"
"Bossier City city, Louisiana","61,315"
"Rockville city, Maryland","61,209"
"Muncie city, Indiana","70,085"
"Gaithersburg city, Maryland","59,933"
"Union City city, New Jersey","66,455"
